CHR	BP1	BP2	PRB	GEN	HWU_P	NWU_P	PWU_P	GEN_P
9	44121370	44206901	GI_7019554-S	TMEM2	9.22E-01	7.08E-01	8.97E-01	0.8678876809
9	44789852	44803687	GI_5174754-S	ZFAND5	1.08E-02	8.89E-03	1.45E-01	0.1859156423
9	46935089	47124700	GI_19743906-S	RORB	3.01E-01	2.09E-01	3.87E-01	0.1968011384
9	65386766	65475463	GI_32698764-S	FGD3	2.00E+00	2.00E+00	2.00E+00	0.183517091
9	65535205	65552322	GI_21362043-S	C9orf89	7.85E-01	8.69E-01	2.12E-01	0.1602293234
9	65560157	65572990	GI_31543289-S	NINJ1	9.13E-01	8.45E-01	6.17E-01	0.5437708569
9	66699287	66743328	GI_34996534-S	ZNF169	1.53E-01	7.02E-01	5.00E-02	0.5377136089
9	66801145	66831792	GI_14211858-S	HIATL1	6.87E-01	3.49E-01	7.59E-01	0.4178398125
9	67470857	67689280	GI_4557588-S	FANCC	1.61E-01	1.51E-01	8.82E-01	2
9	67814741	67888045	GI_25121959-S	PTCH1	2.00E-01	7.41E-01	3.91E-02	0.2072668972
9	68241866	68300016	GI_42558280-S	CBWD3	7.44E-01	4.40E-01	8.53E-01	0.0382919582
9	68687001	68756998	GI_42734307-S	SLC35D2	9.51E-02	9.51E-02	9.05E-01	2
9	68705332	69009176	GI_4505816-S	PIP5K1B	5.69E-01	5.70E-01	5.21E-01	0.4877412342
9	68780048	68783693	GI_45238859-S	FAM122A	2.67E-02	2.17E-02	3.99E-01	0.6391302031
9	68823333	68864515	GI_24307946-S	HABP4	4.17E-01	8.77E-01	1.18E-01	0.3234968337
9	69035563	69100178	GI_31742514-A	FXN	8.90E-01	8.90E-01	8.90E-01	0.0323363102
9	69099959	69255208	GI_42518069-S	TJP2	8.73E-01	7.37E-01	8.96E-01	0.7646249447
9	69128997	69151177	GI_7662423-S	ZNF510	8.99E-01	7.93E-01	8.60E-01	0.039926181
9	69427532	69672359	GI_22035547-S	APBA1	7.26E-01	8.80E-01	4.43E-01	0.3783234655
9	69775456	69859564	GI_24307950-S	TDRD7	6.50E-01	5.06E-01	6.27E-01	0.5435506211
9	69864624	69965202	GI_4507552-S	TMOD1	2.32E-01	1.70E-01	3.37E-01	0.3974745847
9	71003370	71061691	GI_42558280-S	CBWD3	1.72E-01	4.03E-01	1.46E-01	0.391827877
9	71168838	71211200	GI_22203764-S	GALNT12	5.41E-01	7.51E-01	3.58E-01	0.8590494585
9	71504648	71771284	GI_4505816-S	PIP5K1B	8.01E-01	4.35E-01	8.62E-01	0.6276149797
9	71542188	71545833	GI_45238859-S	FAM122A	1.94E-01	6.19E-02	9.58E-01	0.5632637159
9	71577356	71582895	GI_14861835-A	ALG2	6.86E-01	1.16E-01	9.89E-01	0.8658705443
9	71583219	71591550	GI_14591932-S	SEC61B	4.50E-01	1.81E-01	8.58E-01	0.7846898115
9	71683366	71769456	GI_7019554-S	TMEM2	8.21E-01	8.58E-01	6.23E-01	0.5559209683
9	71797667	71861767	GI_31742514-A	FXN	6.24E-01	4.18E-01	6.36E-01	0.4973527957
9	71882855	72016570	GI_42518069-S	TJP2	8.13E-01	6.19E-01	7.73E-01	0.7397204772
9	71911507	71973457	GI_38327628-I	C9orf85	7.47E-01	7.79E-01	5.47E-01	0.6499450036
9	72084794	72153792	GI_37674229-S	FAM189A2	4.04E-01	9.31E-02	5.45E-01	0.6084449813
9	72114595	72254822	GI_45580724-S	GDA	7.48E-02	6.13E-02	1.31E-01	0.8313570485
9	72183339	72228487	GI_27894358-I	NR4A3	2.05E-01	3.25E-01	1.70E-01	0.0630705946
9	72188922	72433742	GI_22035547-S	APBA1	8.44E-02	3.06E-01	9.74E-02	0.5965767836
9	72267951	72335844	GI_8923603-S	STX17	3.80E-01	5.07E-02	9.29E-01	0.243975078
9	72351425	72365247	GI_5174754-S	ZFAND5	9.62E-01	8.78E-01	9.44E-01	0.1566131672
9	72460680	72662467	GI_34304378-A	INVS	1.21E-02	9.45E-02	1.73E-02	0.3577840604
9	72663398	72714298	GI_8923268-S	TEX10	7.67E-02	1.19E-01	1.18E-01	0.1293639806
9	72900662	72953317	GI_25777722-S	ALDH1A1	6.66E-01	2.79E-01	8.52E-01	0.0381159575
9	73020407	73116329	GI_24850455-S	SMC5	5.14E-01	6.00E-01	4.60E-01	0.4409178943
9	73146053	73176110	GI_4557374-S	KLF9	4.76E-01	1.73E-01	6.41E-01	0.8627417969
9	73151865	73170391	GI_4502100-S	ANXA1	7.14E-01	1.76E-01	9.43E-01	0.5801411777
9	73390121	73686971	GI_8923280-S	LPPR1	6.10E-01	2.44E-01	6.96E-01	0.5779994845
9	73751699	73760369	GI_21265095-S	MRPL50	2.86E-01	6.24E-01	2.14E-01	0.4271310363
9	73760586	73772393	GI_37693524-A	ZNF189	1.07E-01	7.63E-01	5.47E-02	0.8090836864
9	73896855	73926373	GI_34878776-S	RNF20	2.92E-01	8.14E-01	1.76E-01	0.6107639532
9	74444898	74530497	GI_7019554-S	TMEM2	8.77E-01	8.46E-01	6.00E-01	0.8750203512
9	74497336	74687201	GI_19743906-S	RORB	9.18E-02	3.78E-01	9.37E-02	0.1206531397
9	74672988	74734924	GI_38327628-I	C9orf85	5.87E-01	5.47E-01	5.26E-01	0.629621035
9	74876140	75013785	GI_45580724-S	GDA	9.04E-01	7.59E-01	8.66E-01	0.2397060339
9	74946583	74952886	GI_8922232-S	C9orf40	4.96E-01	4.33E-01	4.76E-01	0.6998717259
9	75088482	75148137	GI_38257156-S	OSTF1	7.71E-01	6.23E-01	7.04E-01	0.4062257814
9	75113014	75126847	GI_5174754-S	ZFAND5	4.70E-01	6.73E-01	3.20E-01	0.9165077499
9	75360527	75383535	GI_4557508-S	CYLC2	3.77E-01	7.02E-01	2.63E-01	0.1074407298
9	75662616	75715255	GI_25777722-S	ALDH1A1	4.30E-01	7.78E-01	2.76E-01	0.8329243332
9	75890644	76362339	GI_20336245-S	PCSK5	7.30E-01	5.43E-01	6.90E-01	0.7768530831
9	75913630	75932174	GI_4502100-S	ANXA1	5.87E-01	1.11E-01	9.79E-01	0.5834022506
9	76385517	76394528	GI_39725953-S	RFK	7.65E-02	3.26E-01	5.59E-02	0.1438977809
9	76441666	76507416	GI_34485725-S	GCNT1	8.66E-01	9.23E-01	6.06E-01	0.5281125329
9	76458199	76505354	GI_5453590-S	SMC2	3.98E-03	9.23E-01	2.28E-03	0.0940586982
9	77145450	77292489	GI_21536375-S	ABCA1	5.76E-01	7.92E-01	4.32E-01	0.4231336513
9	77177353	77417483	GI_15619009-I	VPS13A	7.98E-01	2.52E-01	9.34E-01	0.3135242272
9	77258972	77448757	GI_19743906-S	RORB	4.54E-02	6.16E-02	7.88E-02	0.3548651694
9	77662832	77760955	GI_18034691-I	SLC44A1	6.23E-01	4.96E-01	5.95E-01	0.5485472477
9	77707780	77714083	GI_8922232-S	C9orf40	3.89E-01	7.55E-01	2.70E-01	0.7129437975
9	77716274	78031449	GI_40254461-S	GNAQ	6.06E-01	4.11E-01	5.99E-01	0.4428480712
9	77811705	77916133	GI_13994288-S	FSD1L	5.06E-01	1.22E-01	8.51E-01	0.3770632299
9	77849845	77908558	GI_38257156-S	OSTF1	3.28E-01	1.02E-01	7.19E-01	0.2854275209
9	77921830	78004880	GI_5803014-S	FKTN	5.62E-01	3.35E-01	6.26E-01	0.7667711613
9	78058333	78140432	GI_8922460-S	TMEM38B	8.59E-02	6.48E-01	7.87E-02	0.6807449051
9	78297075	78330093	GI_34304343-A	PSAT1	2.73E-01	6.92E-01	2.31E-01	0.7467344922
9	78651993	79121401	GI_20336245-S	PCSK5	2.67E-01	7.46E-01	1.97E-01	0.000680869
9	79146891	79155902	GI_39725953-S	RFK	7.44E-01	8.17E-01	5.70E-01	0.2485519583
9	79203394	79269154	GI_34485725-S	GCNT1	2.11E-01	1.29E-01	3.54E-01	0.2638411064
9	79571773	79726882	GI_38327621-S	TLE4	2.84E-01	4.76E-01	2.56E-01	0.2685437793
9	79647342	79696523	GI_19924138-S	RAD23B	1.99E-01	3.23E-01	2.01E-01	0.0104737942
9	79848720	79853633	GI_34916057-S	KLF4	3.72E-01	8.48E-01	2.24E-01	0.7613765059
9	79938844	80179199	GI_15619009-I	VPS13A	4.65E-01	6.34E-01	3.62E-01	0.7993599766
9	80478436	80793818	GI_40254461-S	GNAQ	7.46E-01	7.72E-01	5.50E-01	0.0037203529
9	81059641	81092550	GI_34304343-A	PSAT1	1.14E-01	6.32E-01	6.15E-02	0.7200770392
9	81229552	81296258	GI_38569393-S	IKBKAP	1.67E-01	9.03E-01	8.73E-02	0.5197818727
9	81296323	81302888	GI_20127565-S	FAM206A	9.64E-01	9.81E-01	7.18E-01	0.7036186095
9	81304499	81375635	GI_4503128-S	CTNNAL1	5.87E-01	9.27E-01	2.71E-01	0.465669838
9	81583683	81689344	GI_34147712-S	TLE1	4.41E-01	6.61E-01	3.39E-01	0.0429766979
9	82144738	82536888	GI_22325354-I	PALM2-AKAP2	7.74E-02	1.49E-01	1.07E-01	0.8346342783
9	82144738	82536888	GI_22325355-A	PALM2-AKAP2	3.05E-01	1.49E-01	3.98E-01	0.6825072568
9	82333986	82489032	GI_38327621-S	TLE4	1.27E-01	1.78E-01	1.54E-01	0.4271618209
9	82607811	82620710	GI_4507744-S	TXN	7.90E-01	6.42E-01	6.86E-01	0.7855796967
9	82979585	83063128	GI_22749180-S	RASEF	7.19E-01	5.43E-01	6.78E-01	0.7976121528
9	83234370	83398725	GI_45580697-A	LPAR1	2.83E-01	4.84E-01	2.17E-01	0.0580721598
9	83242990	83538433	GI_34222248-S	FRMD3	1.03E-01	4.32E-01	8.62E-02	0.6939011658
9	83659963	83708253	GI_44955932-I	UBQLN1	8.10E-01	5.07E-01	8.31E-01	0.7457131336
9	83659963	83708253	GI_16753204-A	UBQLN1	8.79E-01	5.07E-01	9.30E-01	0.5232701059
9	83739421	83817837	GI_20127641-S	GKAP1	4.01E-01	1.99E-01	4.90E-01	0.6830043106
9	83938311	83956754	GI_31543143-S	C9orf64	7.30E-01	5.48E-01	6.83E-01	0.802072809
9	83968083	83980660	GI_14165436-A	HNRNPK	6.27E-01	7.11E-01	4.34E-01	0.5915902525
9	83980720	84004074	GI_13376426-S	RMI1	6.11E-01	4.36E-01	6.11E-01	0.5495564687
9	83992211	84031039	GI_21361096-S	DNAJC25-GNG10	8.42E-02	4.63E-01	6.06E-02	0.9516318245
9	84257257	84293341	GI_4507810-S	UGCG	3.05E-01	2.67E-01	3.39E-01	0.5682666186
9	84345031	84450424	GI_34147712-S	TLE1	5.92E-01	5.35E-01	5.48E-01	0.228840873
9	84401174	84536109	GI_42476319-S	SUSD1	1.49E-01	6.07E-01	1.27E-01	0.2880802646
9	84578801	84694587	GI_38569465-S	PTBP3	7.27E-01	5.10E-01	7.57E-01	0.4846159037
9	84740909	84833213	GI_40254985-S	HSDL2	1.49E-01	5.19E-01	9.15E-02	0.7330779565
9	85239036	85251012	GI_31543827-S	SLC46A2	8.41E-01	5.41E-01	8.64E-01	0.8852021599
9	85402201	85417177	GI_4507962-S	ZFP37	8.48E-01	6.93E-01	7.98E-01	0.1977941719
9	85520955	85534138	GI_4507016-S	SLC31A2	9.26E-01	7.02E-01	9.17E-01	0.0353477171
9	85546539	85742029	GI_7662451-S	AGTPBP1	8.26E-01	4.72E-01	8.87E-01	0.7146951306
9	85591243	85634236	GI_40254457-S	SLC31A1	6.37E-01	7.18E-01	4.90E-01	0.8026262803
9	85636753	85645333	GI_38683841-S	CDC26	3.68E-01	7.60E-01	1.60E-01	0.4309327215
9	85645378	85662571	GI_34222192-S	PRPF4	3.39E-01	6.32E-01	1.62E-01	0.6884494068
9	85685302	85710020	GI_21687047-S	WDR31	5.48E-01	3.74E-01	6.08E-01	0.6227257865
9	85719212	85740717	GI_8923147-S	BSPRY	6.98E-01	3.80E-01	7.59E-01	0.7230579374
9	85741051	85824644	GI_22749180-S	RASEF	7.16E-01	5.47E-01	6.92E-01	0.5117856826
9	85742903	85745542	GI_31377665-S	HDHD3	4.32E-01	1.86E-01	6.39E-01	0.5415809297
9	85776442	85779955	GI_31543422-S	POLE3	7.50E-01	5.32E-01	7.40E-01	0.5277886613
9	85941142	86023435	GI_39725954-S	NAA35	2.22E-01	4.42E-01	2.22E-01	0.4347382331
9	86004413	86300106	GI_34222248-S	FRMD3	8.32E-02	5.48E-01	8.02E-02	0.6696772166
9	86026141	86100201	GI_29550849-I	GOLM1	2.94E-01	5.04E-01	2.80E-01	0.1096431044
9	86264546	86282575	GI_24475709-S	ISCA1	9.93E-02	2.76E-01	8.78E-02	0.6743835157
9	86421618	86469907	GI_16753204-A	UBQLN1	1.31E-01	2.94E-01	1.15E-01	0.6857223398
9	86421618	86469907	GI_44955932-I	UBQLN1	3.63E-01	2.94E-01	3.90E-01	0.129912214
9	86428731	86447071	GI_31541901-S	AMBP	5.78E-01	3.24E-01	6.38E-01	0.9132279078
9	86501068	86579457	GI_20127641-S	GKAP1	3.36E-01	2.71E-01	3.77E-01	0.739289746
9	86691053	86694374	GI_9257231-S	ORM1	6.80E-01	7.52E-01	5.36E-01	0.4705651505
9	86699916	86718354	GI_31543143-S	C9orf64	8.03E-01	5.13E-01	8.21E-01	0.6999771877
9	86701707	86762026	GI_37620170-S	AKNA	3.94E-01	4.20E-01	3.94E-01	0.0676932852
9	86729595	86742166	GI_14165436-A	HNRNPK	6.45E-01	4.35E-01	6.55E-01	0.0103284815
9	86742234	86765591	GI_13376426-S	RMI1	6.42E-01	2.71E-01	7.34E-01	0.6463936527
9	86955148	86966307	GI_20357534-S	ATP6V1G1	3.25E-02	2.06E-02	2.83E-01	0.7437108356
9	86978868	87013612	GI_33356141-S	C9orf91	7.29E-02	7.13E-02	2.39E-01	0.6976980995
9	87151524	87173014	GI_23510444-S	TNFSF15	5.55E-01	4.75E-01	5.00E-01	0.4898917415
9	87260238	87297495	GI_24119162-S	TNFSF8	8.89E-01	5.75E-01	9.04E-01	0.6660493309
9	87497228	87708651	GI_4826683-S	DAPK1	8.15E-01	3.57E-01	8.87E-01	0.8371882357
9	88308168	88503654	GI_7662451-S	AGTPBP1	5.41E-01	3.54E-01	5.97E-01	0.2948542882
9	88388382	88478708	GI_5730064-S	SPIN1	6.72E-01	4.62E-01	6.90E-01	0.062275721
9	88522043	88770156	GI_38045914-S	PAPPA	7.56E-01	3.91E-01	8.24E-01	0.6163619481
9	88702594	88783747	GI_39725954-S	NAA35	6.10E-01	6.31E-01	5.13E-01	0.1593300864
9	88787586	88861938	GI_29550849-I	GOLM1	3.78E-01	5.19E-01	3.42E-01	0.7888234697
9	88793045	89344120	GI_38016954-I	ASTN2	1.34E-01	3.65E-01	1.43E-01	0.6648156026
9	89025905	89043932	GI_24475709-S	ISCA1	3.06E-01	4.86E-01	2.91E-01	0.1066928758
9	89054928	89068929	GI_15208649-S	TRIM32	9.71E-02	4.82E-01	9.51E-02	0.6625489668
9	89311198	89316703	GI_4502858-S	CKS2	3.01E-01	6.54E-01	2.56E-01	0.6173870422
9	89318473	89359663	GI_21359954-S	SECISBP2	4.78E-01	3.74E-01	4.73E-01	0.527504544
9	89360791	89497991	GI_33942063-S	SEMA4D	7.81E-01	5.70E-01	7.48E-01	0.7352684672
9	89381724	89795414	GI_38016954-I	ASTN2	2.51E-01	2.89E-01	2.73E-01	0.0962726532
9	90259940	90471316	GI_4826683-S	DAPK1	7.94E-01	5.59E-01	7.72E-01	0.8344972135
9	90609832	90642826	GI_21703366-S	DIRAS2	7.35E-01	4.73E-01	7.59E-01	0.6176628526
9	90801730	90898560	GI_34147655-S	SYK	4.62E-01	1.46E-01	5.71E-01	0.5350151225
9	91150928	91241252	GI_5730064-S	SPIN1	1.12E-01	7.14E-01	7.21E-02	0.8204118474
9	91213815	91361933	GI_4502326-S	AUH	4.65E-02	5.66E-01	3.58E-02	0.1522647991
9	91409045	91424626	GI_4885516-S	NFIL3	8.70E-01	6.95E-01	8.53E-01	0.0284838271
9	92031134	92115474	GI_30474867-I	SPTLC1	4.46E-01	3.52E-01	4.64E-01	0.583116399
9	92074940	92080445	GI_4502858-S	CKS2	7.87E-01	6.59E-01	7.11E-01	0.7361717913
9	92082215	92123405	GI_21359954-S	SECISBP2	3.42E-01	3.72E-01	3.52E-01	0.298015502
9	92124533	92243431	GI_33942063-S	SEMA4D	7.48E-01	6.62E-01	6.32E-01	0.6693696376
9	92210207	92293756	GI_7770071-I	IARS	9.63E-02	6.85E-01	7.48E-02	0.5418304221
9	92210207	92293756	GI_7770073-A	IARS	1.13E-01	6.85E-01	8.82E-02	0.0632592153
9	92297358	92325594	GI_39979635-S	NOL8	9.72E-01	9.25E-01	9.12E-01	0.2576884479
9	92769151	92960484	GI_28872785-S	CDK5RAP2	8.03E-01	6.23E-01	7.68E-01	0.3697468873
9	92947319	93036236	GI_32698764-S	FGD3	8.64E-01	7.06E-01	8.45E-01	0.5570254633
9	93058688	93085138	GI_37059752-S	SUSD3	5.15E-01	2.46E-01	5.79E-01	0.7942808216
9	93096168	93113283	GI_21362043-S	C9orf89	3.12E-01	5.22E-01	2.68E-01	0.0112995593
9	93121489	93134288	GI_31543289-S	NINJ1	3.15E-01	6.05E-01	1.96E-01	0.4027879173
9	93137206	93173702	GI_7549806-S	FBXW2	7.49E-01	7.10E-01	5.87E-01	0.5147074698
9	93196283	93222905	GI_25777613-S	PSMD5	3.16E-01	5.10E-01	2.47E-01	0.7208681482
9	93282121	93308908	GI_22027610-S	TRAF1	8.44E-01	7.59E-01	6.93E-01	0.6332338367
9	93332095	93430452	GI_38016946-S	C5	7.23E-01	7.06E-01	6.27E-01	0.7882326989
9	93446494	93453592	GI_38502322-S	FAM120AOS	4.38E-01	6.25E-01	3.11E-01	0.2596899969
9	93468455	93557631	GI_38158017-S	CNTRL	6.41E-01	6.89E-01	5.03E-01	0.6569146616
9	93518607	93551600	GI_21703366-S	DIRAS2	7.97E-01	6.04E-01	7.63E-01	0.4813304027
9	93558160	93582112	GI_19923482-S	RAB14	6.51E-03	6.92E-01	5.94E-03	0.8160592872
9	93648171	93712883	GI_38016941-I	GSN	1.25E-01	2.79E-02	3.23E-01	0.1687251386
9	93710484	93807287	GI_34147655-S	SYK	3.91E-01	1.17E-01	8.64E-01	0.1440239633
9	93719010	93750325	GI_38016906-A	STOM	1.31E-01	1.24E-01	2.10E-01	0.5819536398
9	93719010	93750325	GI_38016910-I	STOM	5.20E-01	1.24E-01	9.47E-01	0.2320898162
9	93947169	94165205	GI_20070108-I	DAB2IP	5.21E-01	3.90E-01	5.20E-01	0.2422895883
9	94122573	94270676	GI_4502326-S	AUH	8.45E-03	9.50E-02	1.30E-02	0.4537933904
9	94259296	94303009	GI_34996534-S	ZNF169	4.62E-01	4.61E-01	3.90E-01	0.0655901053
9	94317789	94332468	GI_4885516-S	NFIL3	9.24E-01	8.75E-01	8.95E-01	0.1741224585
9	94374547	94460920	GI_14211858-S	HIATL1	8.80E-01	6.36E-01	8.79E-01	0.4839448921
9	94521087	94536866	GI_33519464-S	NDUFA8	1.71E-01	4.54E-01	1.38E-01	0.3847467995
9	94579638	94605760	GI_40549416-S	LHX6	9.20E-02	5.60E-01	6.87E-02	0.3884179347
9	94603133	94640249	GI_16579887-S	FBP1	7.84E-01	5.66E-01	8.11E-01	0.0221935267
9	94616513	94641838	GI_34147454-S	RBM18	6.92E-02	4.79E-01	7.68E-02	0.9285763378
9	94641577	94700513	GI_40317613-A	MRRF	1.04E-01	7.07E-01	8.00E-02	0.4126726262
9	94747532	94772698	GI_18104966-I	PTGS1	2.28E-01	7.13E-01	9.57E-02	0.4418043335
9	94747532	94772698	GI_18104968-A	PTGS1	5.49E-01	7.13E-01	3.25E-01	0.3055677128
9	94939836	95024218	GI_30474867-I	SPTLC1	6.53E-01	5.44E-01	6.20E-01	0.2712904913
9	95099054	95317709	GI_4557588-S	FANCC	7.04E-01	5.31E-01	6.85E-01	0.3663843543
9	95118853	95202471	GI_7770073-A	IARS	4.09E-01	5.60E-01	2.88E-01	0.5581459998
9	95118853	95202471	GI_7770071-I	IARS	4.24E-01	5.60E-01	3.09E-01	0.0239505177
9	95206075	95234299	GI_39979635-S	NOL8	7.33E-01	5.12E-01	7.40E-01	0.6612175739
9	95226328	95282388	GI_9256536-S	RC3H2	3.15E-01	6.10E-01	1.98E-01	0.0398927384
9	95285160	95290432	GI_34222260-S	ZBTB6	1.27E-01	5.13E-01	6.44E-02	0.444995454
9	95295217	95308624	GI_31544070-S	ZBTB26	2.79E-01	4.37E-01	2.02E-01	0.2991551406
9	95318127	95482201	GI_12232372-S	RABGAP1	3.80E-01	3.82E-01	3.76E-01	0.7242930265
9	95442982	95516965	GI_25121959-S	PTCH1	7.34E-01	4.29E-01	7.70E-01	0.0201678271
9	95498948	95645951	GI_21361744-S	STRBP	9.94E-03	3.54E-01	1.11E-02	0.6612422417
9	95521868	95578933	GI_34222142-S	IPPK	5.16E-01	4.42E-01	4.94E-01	0.117663613
9	95756878	96306367	GI_13449264-S	DENND1A	6.93E-01	4.34E-01	7.05E-01	0.7688563464
9	95856394	95945176	GI_32698764-S	FGD3	3.39E-01	4.58E-01	2.69E-01	0.3305981641
9	95967630	95994084	GI_37059752-S	SUSD3	6.07E-01	2.88E-01	8.03E-01	0.546854312
9	96005094	96022207	GI_21362043-S	C9orf89	6.73E-01	5.83E-01	5.58E-01	0.2163475105
9	96030378	96043177	GI_31543289-S	NINJ1	8.30E-01	8.32E-01	5.89E-01	0.5790822078
9	96313437	96383710	GI_42734307-S	SLC35D2	6.57E-02	4.72E-01	6.74E-02	0.6679339797
9	96355856	96362890	GI_38502322-S	FAM120AOS	2.15E-01	5.66E-01	2.00E-01	0.5566713937
9	96450155	96491336	GI_24307946-S	HABP4	5.16E-01	2.34E-01	5.89E-01	0.586819989
9	96490218	96619830	GI_15451935-I	CDC14B	4.50E-01	5.46E-02	8.02E-01	0.5998774585
9	96490218	96619830	GI_15451934-I	CDC14B	4.86E-01	5.46E-02	8.55E-01	0.5624828092
9	96633275	96727666	GI_34147501-S	NEK6	1.31E-01	6.46E-01	9.32E-02	0.0775805967
9	96700699	96790409	GI_23110926-S	PSMB7	3.72E-01	4.65E-01	3.61E-01	0.4950937152
9	96755865	96778119	GI_7662423-S	ZNF510	2.14E-01	2.54E-01	2.42E-01	0.6924262778
9	97152141	97189543	GI_32698794-S	OLFML2A	5.66E-01	4.00E-01	5.72E-01	0.6244880432
9	97168497	97211917	GI_34996534-S	ZNF169	3.53E-01	4.30E-01	3.48E-01	0.6222488922
9	97232652	97236731	GI_16117792-S	RPL35	7.17E-01	7.43E-01	5.88E-01	0.6732644131
9	97243876	97252092	GI_13569955-S	ARPC5L	2.33E-01	5.09E-01	2.12E-01	0.5125878031
9	97252969	97315692	GI_42490756-S	GOLGA1	8.25E-01	7.76E-01	6.98E-01	0.5531646861
9	97283355	97369639	GI_14211858-S	HIATL1	6.30E-01	8.86E-01	3.53E-01	0.1028386793
9	97317193	97517971	GI_27735124-S	SCAI	8.16E-01	6.99E-01	7.49E-01	0.5229823901
9	97412020	97496125	GI_24307950-S	TDRD7	7.53E-01	6.43E-01	6.56E-01	0.2167916039
9	97501180	97601743	GI_4507552-S	TMOD1	3.35E-01	6.81E-01	2.12E-01	0.3167948065
9	97511867	97548958	GI_16579887-S	FBP1	5.31E-01	6.01E-01	3.99E-01	0.8035637336
9	97520985	97564821	GI_20127429-S	PPP6C	2.24E-01	6.53E-01	1.41E-01	0.1666626399
9	97575423	97609024	GI_33695108-S	RABEPK	3.64E-01	7.73E-01	2.09E-01	0.0230615459
9	97600080	97633680	GI_31377600-S	TSTD2	8.40E-01	7.06E-01	7.42E-01	0.220987633
9	97609713	97616253	GI_21361242-S	HSPA5	3.37E-01	7.82E-01	1.60E-01	0.7004022251
9	97633423	97673748	GI_40254465-S	NCBP1	7.45E-01	4.25E-01	8.47E-01	0.7245243179
9	97634451	97697409	GI_31543966-S	XPA	6.32E-01	4.76E-01	6.27E-01	0.5354287192
9	97812310	98082113	GI_34147366-S	MAPKAP1	1.74E-01	8.00E-02	3.58E-01	0.5699921711
9	97853255	97856715	GI_21618324-S	FOXE1	2.80E-01	4.11E-01	2.76E-01	0.2217634326
9	97926791	97944915	GI_37574617-A	HEMGN	1.01E-01	6.50E-02	2.70E-01	0.7286187888
9	97983207	98015943	GI_5454087-S	ANP32B	2.91E-01	1.18E-01	4.47E-01	0.3363961797
9	98007791	98226463	GI_4557588-S	FANCC	5.49E-01	3.01E-01	6.02E-01	0.7785393827
9	98035794	98119413	GI_15208664-A	TRIM14	4.07E-01	1.16E-01	7.22E-01	0.8791565438
9	98056677	98083083	GI_12056472-S	NANS	8.56E-01	4.36E-01	9.18E-01	0.8182147365
9	98120975	98192674	GI_16554582-I	CORO2A	9.86E-03	4.05E-01	6.77E-03	0.5043097844
9	98120975	98192674	GI_34335234-A	CORO2A	2.12E-01	4.05E-01	1.90E-01	0.2588236081
9	98122353	98347071	GI_24475894-S	PBX3	7.08E-01	7.39E-01	5.35E-01	0.705479363
9	98351712	98425709	GI_25121959-S	PTCH1	8.88E-01	5.67E-01	9.28E-01	0.5727888955
9	98807699	98850081	GI_22203764-S	GALNT12	7.30E-01	6.88E-01	6.11E-01	0.6208757507
9	99180394	99213637	GI_7662099-S	ZBTB43	1.72E-01	5.10E-01	9.25E-02	0.0415647113
9	99216425	99221964	GI_14861835-A	ALG2	5.44E-01	4.54E-01	4.71E-01	0.8920979029
9	99222187	99292473	GI_42734307-S	SLC35D2	1.87E-01	8.66E-02	6.83E-01	0.4365176102
9	99222288	99230619	GI_14591932-S	SEC61B	4.62E-01	5.69E-01	3.08E-01	0.7361624419
9	99292239	99601281	GI_7662069-S	RALGPS1	5.32E-01	1.45E-01	9.12E-01	0.291395807
9	99359280	99400445	GI_24307946-S	HABP4	9.51E-01	8.88E-01	9.08E-01	0.6644386459
9	99409222	99528933	GI_15451934-I	CDC14B	6.62E-02	9.12E-02	1.14E-01	0.7412052979
9	99409222	99528933	GI_15451935-I	CDC14B	1.68E-01	9.12E-02	6.10E-01	0.5598541306
9	99665178	99687359	GI_7662423-S	ZNF510	3.21E-01	6.14E-01	1.43E-01	0.538559595
9	99775055	99785815	GI_21361448-S	SLC2A8	6.88E-01	5.60E-01	6.92E-01	0.3545494601
9	99802632	99823635	GI_24307936-S	ZNF79	5.53E-01	2.50E-01	8.04E-01	0.5240489586
9	99821855	99866891	GI_27894358-I	NR4A3	2.04E-01	1.62E-01	3.42E-01	0.163896445
9	99825937	99829695	GI_15431291-S	RPL12	2.56E-01	6.80E-01	1.08E-01	0.6068850383
9	99829749	99881715	GI_31543096-S	LRSAM1	4.45E-01	1.93E-01	7.58E-01	0.5701798267
9	99883552	99957434	GI_24308286-S	FAM129B	8.75E-01	7.69E-01	7.99E-01	0.7306947845
9	99906633	99974536	GI_8923603-S	STX17	7.76E-01	6.45E-01	7.13E-01	0.6020468809
9	99990647	100071101	GI_4507296-S	STXBP1	7.19E-01	6.81E-01	6.17E-01	0.8102321902
9	100094471	100110414	GI_21450644-S	TTC16	6.93E-01	5.42E-01	6.65E-01	0.117635444
9	100099185	100301626	GI_34304378-A	INVS	6.44E-02	6.58E-01	5.96E-02	0.6805046831
9	100110338	100114163	GI_18497297-S	TOR2A	5.69E-01	4.83E-01	5.49E-01	0.5540727006
9	100117130	100157604	GI_4885526-A	SH2D3C	5.66E-01	6.41E-01	4.87E-01	0.5329336331
9	100117130	100157604	Hs.445716-S	SH2D3C	8.24E-01	6.41E-01	7.98E-01	0.585254915
9	100164574	100169598	GI_17017983-S	CDK9	1.26E-01	8.65E-01	6.86E-02	0.6782158459
